category,location_name,coordinate_id,x,y,z,coordinates,source_url
All Other Locations,Desolate Deep,4,-1600.0,-110.0,-2845.0,"-1600.0, -110.0, -2845.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,5,-1795.0,-140.0,-3310.0,"-1795.0, -140.0, -3310.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,6,-1810.0,-140.0,-3300.0,"-1810.0, -140.0, -3300.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,7,-1625.0,-205.0,-2785.0,"-1625.0, -205.0, -2785.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,8,-1470.0,-240.0,-2550.0,"-1470.0, -240.0, -2550.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,9,-975.0,-245.0,-2700.0,"-975.0, -245.0, -2700.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,10,-1485.0,-225.0,-2195.0,"-1485.0, -225.0, -2195.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,11,-1655.0,-210.0,-2825.0,"-1655.0, -210.0, -2825.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,12,-980.0,-240.0,-2690.0,"-980.0, -240.0, -2690.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,13,-1645.0,-210.0,-2855.0,"-1645.0, -210.0, -2855.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,14,-1650.0,-210.0,-2840.0,"-1650.0, -210.0, -2840.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,15,-1630.0,-210.0,-2860.0,"-1630.0, -210.0, -2860.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,16,-1470.0,-225.0,-2225.0,"-1470.0, -225.0, -2225.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,17,-1800.0,-135.0,-3280.0,"-1800.0, -135.0, -3280.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Brine Pool,1,-790.0,125.0,-3100.0,"-790.0, 125.0, -3100.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,2,-1710.0,-235.0,-3075.0,"-1710.0, -235.0, -3075.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,3,-1725.0,-175.0,-3125.0,"-1725.0, -175.0, -3125.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,4,-1600.0,-110.0,-2845.0,"-1600.0, -110.0, -2845.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,5,-1795.0,-140.0,-3310.0,"-1795.0, -140.0, -3310.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,6,-1810.0,-140.0,-3300.0,"-1810.0, -140.0, -3300.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,7,-1625.0,-205.0,-2785.0,"-1625.0, -205.0, -2785.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,8,-1470.0,-240.0,-2550.0,"-1470.0, -240.0, -2550.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,9,-975.0,-245.0,-2700.0,"-975.0, -245.0, -2700.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,10,-1485.0,-225.0,-2195.0,"-1485.0, -225.0, -2195.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,11,-1655.0,-210.0,-2825.0,"-1655.0, -210.0, -2825.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,12,-980.0,-240.0,-2690.0,"-980.0, -240.0, -2690.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,13,-1645.0,-210.0,-2855.0,"-1645.0, -210.0, -2855.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,14,-1650.0,-210.0,-2840.0,"-1650.0, -210.0, -2840.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,15,-1630.0,-210.0,-2860.0,"-1630.0, -210.0, -2860.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,16,-1470.0,-225.0,-2225.0,"-1470.0, -225.0, -2225.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Brine Pool,17,-1800.0,-135.0,-3280.0,"-1800.0, -135.0, -3280.0",https://fischipedia.org/wiki/Brine_Pool
All Other Locations,Roslit Bay,1,-1450.0,135.0,750.0,"-1450.0, 135.0, 750.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,2,-1775.0,150.0,680.0,"-1775.0, 150.0, 680.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,3,-1875.0,165.0,380.0,"-1875.0, 165.0, 380.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,4,-1515.0,141.0,765.0,"-1515.0, 141.0, 765.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,5,-1945.0,275.0,230.0,"-1945.0, 275.0, 230.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,6,-1710.0,150.0,740.0,"-1710.0, 150.0, 740.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,7,-1465.0,130.0,680.0,"-1465.0, 130.0, 680.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,8,-1485.0,130.0,640.0,"-1485.0, 130.0, 640.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Bay,9,-1785.0,165.0,400.0,"-1785.0, 165.0, 400.0",https://fischipedia.org/wiki/Roslit_Bay
All Other Locations,Roslit Volcano,1,-1450.0,135.0,750.0,"-1450.0, 135.0, 750.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,2,-1775.0,150.0,680.0,"-1775.0, 150.0, 680.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,3,-1875.0,165.0,380.0,"-1875.0, 165.0, 380.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,4,-1515.0,141.0,765.0,"-1515.0, 141.0, 765.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,5,-1945.0,275.0,230.0,"-1945.0, 275.0, 230.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,6,-1710.0,150.0,740.0,"-1710.0, 150.0, 740.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,7,-1465.0,130.0,680.0,"-1465.0, 130.0, 680.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,8,-1485.0,130.0,640.0,"-1485.0, 130.0, 640.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Roslit Volcano,9,-1785.0,165.0,400.0,"-1785.0, 165.0, 400.0",https://fischipedia.org/wiki/Roslit_Volcano
All Other Locations,Mushgrove Swamp,1,2425.0,130.0,-670.0,"2425.0, 130.0, -670.0",https://fischipedia.org/wiki/Mushgrove_Swamp
All Other Locations,Mushgrove Swamp,2,2730.0,130.0,-825.0,"2730.0, 130.0, -825.0",https://fischipedia.org/wiki/Mushgrove_Swamp
All Other Locations,Mushgrove Swamp,3,2520.0,160.0,-895.0,"2520.0, 160.0, -895.0",https://fischipedia.org/wiki/Mushgrove_Swamp
All Other Locations,Mushgrove Swamp,4,2790.0,140.0,-625.0,"2790.0, 140.0, -625.0",https://fischipedia.org/wiki/Mushgrove_Swamp
All Other Locations,Mushgrove Swamp,5,2520.0,135.0,-895.0,"2520.0, 135.0, -895.0",https://fischipedia.org/wiki/Mushgrove_Swamp
All Other Locations,Snowcap Island,1,2600.0,150.0,2400.0,"2600.0, 150.0, 2400.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Snowcap Island,2,2900.0,150.0,2500.0,"2900.0, 150.0, 2500.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Snowcap Island,3,2710.0,190.0,2560.0,"2710.0, 190.0, 2560.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Snowcap Island,4,2750.0,135.0,2505.0,"2750.0, 135.0, 2505.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Snowcap Island,5,2800.0,280.0,2565.0,"2800.0, 280.0, 2565.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Snowcap Island,6,2845.0,180.0,2700.0,"2845.0, 180.0, 2700.0",https://fischipedia.org/wiki/Snowcap_Island
All Other Locations,Sunstone Island,1,-935.0,130.0,-1105.0,"-935.0, 130.0, -1105.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Sunstone Island,2,-1045.0,135.0,-1140.0,"-1045.0, 135.0, -1140.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Sunstone Island,3,-1215.0,190.0,-1040.0,"-1215.0, 190.0, -1040.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Sunstone Island,4,-1145.0,135.0,-1075.0,"-1145.0, 135.0, -1075.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Sunstone Island,5,-1045.0,200.0,-1100.0,"-1045.0, 200.0, -1100.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Sunstone Island,6,-920.0,130.0,-1105.0,"-920.0, 130.0, -1105.0",https://fischipedia.org/wiki/Sunstone_Island
All Other Locations,Statue of Sovereignty,1,20.0,160.0,-1040.0,"20.0, 160.0, -1040.0",https://fischipedia.org/wiki/Statue_of_Sovereignty
All Other Locations,Statue of Sovereignty,2,1380.0,-805.0,-300.0,"1380.0, -805.0, -300.0",https://fischipedia.org/wiki/Statue_of_Sovereignty
All Other Locations,Keepers Altar,1,20.0,160.0,-1040.0,"20.0, 160.0, -1040.0",https://fischipedia.org/wiki/Keepers_Altar
All Other Locations,Keepers Altar,2,1380.0,-805.0,-300.0,"1380.0, -805.0, -300.0",https://fischipedia.org/wiki/Keepers_Altar
All Other Locations,Vertigo,1,-110.0,-515.0,1040.0,"-110.0, -515.0, 1040.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,2,-75.0,-530.0,1285.0,"-75.0, -530.0, 1285.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,3,1210.0,-715.0,1315.0,"1210.0, -715.0, 1315.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,4,-145.0,-515.0,1140.0,"-145.0, -515.0, 1140.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,5,1705.0,-900.0,1445.0,"1705.0, -900.0, 1445.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,6,-100.0,-730.0,1210.0,"-100.0, -730.0, 1210.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Vertigo,7,-970.0,-710.0,1300.0,"-970.0, -710.0, 1300.0",https://fischipedia.org/wiki/Vertigo
All Other Locations,Ocean,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Ocean
All Other Locations,Ocean,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Ocean
All Other Locations,Ocean,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Ocean
All Other Locations,Ocean,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Ocean
All Other Locations,Ocean,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Ocean
All Other Locations,Deep Ocean,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Deep_Ocean
All Other Locations,Deep Ocean,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Deep_Ocean
All Other Locations,Deep Ocean,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Deep_Ocean
All Other Locations,Deep Ocean,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Deep_Ocean
All Other Locations,Deep Ocean,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Deep_Ocean
All Other Locations,Earmark Island,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Earmark_Island
All Other Locations,Earmark Island,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Earmark_Island
All Other Locations,Earmark Island,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Earmark_Island
All Other Locations,Earmark Island,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Earmark_Island
All Other Locations,Earmark Island,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Earmark_Island
All Other Locations,Haddock Rock,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Haddock_Rock
All Other Locations,Haddock Rock,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Haddock_Rock
All Other Locations,Haddock Rock,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Haddock_Rock
All Other Locations,Haddock Rock,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Haddock_Rock
All Other Locations,Haddock Rock,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Haddock_Rock
All Other Locations,The Arch,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/The_Arch
All Other Locations,The Arch,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/The_Arch
All Other Locations,The Arch,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/The_Arch
All Other Locations,The Arch,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/The_Arch
All Other Locations,The Arch,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/The_Arch
All Other Locations,Birch Cay,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Birch_Cay
All Other Locations,Birch Cay,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Birch_Cay
All Other Locations,Birch Cay,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Birch_Cay
All Other Locations,Birch Cay,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Birch_Cay
All Other Locations,Birch Cay,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Birch_Cay
All Other Locations,Harvesters Spike,1,-1270.0,125.0,1580.0,"-1270.0, 125.0, 1580.0",https://fischipedia.org/wiki/Harvesters_Spike
All Other Locations,Harvesters Spike,2,1000.0,125.0,-1250.0,"1000.0, 125.0, -1250.0",https://fischipedia.org/wiki/Harvesters_Spike
All Other Locations,Harvesters Spike,3,-530.0,125.0,-425.0,"-530.0, 125.0, -425.0",https://fischipedia.org/wiki/Harvesters_Spike
All Other Locations,Harvesters Spike,4,1230.0,125.0,575.0,"1230.0, 125.0, 575.0",https://fischipedia.org/wiki/Harvesters_Spike
All Other Locations,Harvesters Spike,5,1700.0,125.0,-2500.0,"1700.0, 125.0, -2500.0",https://fischipedia.org/wiki/Harvesters_Spike
All Other Locations,Lobster Fishing,1,-552.0,153.0,2651.0,"-552.0, 153.0, 2651.0",https://fischipedia.org/wiki/Lobster_Fishing
All Other Locations,Lobster Fishing,2,-571.0,153.0,2638.0,"-571.0, 153.0, 2638.0",https://fischipedia.org/wiki/Lobster_Fishing
All Other Locations,Lobster Fishing,3,-575.0,85.0,1000.0,"-575.0, 85.0, 1000.0",https://fischipedia.org/wiki/Lobster_Fishing
All Other Locations,Net Fishing,1,-635.0,85.0,1005.0,"-635.0, 85.0, 1005.0",https://fischipedia.org/wiki/Net_Fishing
All Other Locations,Net Fishing,2,-630.0,85.0,1005.0,"-630.0, 85.0, 1005.0",https://fischipedia.org/wiki/Net_Fishing
All Other Locations,Net Fishing,3,-610.0,85.0,1005.0,"-610.0, 85.0, 1005.0",https://fischipedia.org/wiki/Net_Fishing
All Other Locations,Net Fishing,4,-820.0,90.0,995.0,"-820.0, 90.0, 995.0",https://fischipedia.org/wiki/Net_Fishing
All Other Locations,Oxygen,1,-1655.0,-210.0,-2825.0,"-1655.0, -210.0, -2825.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,Oxygen,2,370.0,135.0,250.0,"370.0, 135.0, 250.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,Oxygen,3,-790.0,125.0,-3100.0,"-790.0, 125.0, -3100.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,Oxygen,4,-980.0,-240.0,-2690.0,"-980.0, -240.0, -2690.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,Oxygen,5,-4452.0,-603.0,1877.0,"-4452.0, -603.0, 1877.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,Oxygen,6,-3550.0,130.0,568.0,"-3550.0, 130.0, 568.0",https://fischipedia.org/wiki/Oxygen
All Other Locations,NPCs,1,415.0,135.0,200.0,"415.0, 135.0, 200.0",https://fischipedia.org/wiki/NPCs
All Other Locations,NPCs,2,420.0,145.0,260.0,"420.0, 145.0, 260.0",https://fischipedia.org/wiki/NPCs
All Other Locations,Sunken Chest,1,936.0,130.0,-159.0,"936.0, 130.0, -159.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,2,-1179.0,130.0,565.0,"-1179.0, 130.0, 565.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,3,-852.0,130.0,-1560.0,"-852.0, 130.0, -1560.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,4,798.0,130.0,1667.0,"798.0, 130.0, 1667.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,5,2890.0,130.0,-997.0,"2890.0, 130.0, -997.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,6,-2460.0,130.0,2047.0,"-2460.0, 130.0, 2047.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,7,693.0,130.0,-362.0,"693.0, 130.0, -362.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,8,-1217.0,130.0,201.0,"-1217.0, 130.0, 201.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,9,-1000.0,130.0,-751.0,"-1000.0, 130.0, -751.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,10,562.0,130.0,2455.0,"562.0, 130.0, 2455.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,11,2729.0,130.0,-1098.0,"2729.0, 130.0, -1098.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,12,613.0,130.0,498.0,"613.0, 130.0, 498.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,13,-1967.0,130.0,980.0,"-1967.0, 130.0, 980.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,14,-1500.0,130.0,-750.0,"-1500.0, 130.0, -750.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,15,393.0,130.0,2435.0,"393.0, 130.0, 2435.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,16,2410.0,130.0,-1110.0,"2410.0, 130.0, -1110.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,17,285.0,130.0,564.0,"285.0, 130.0, 564.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,18,-2444.0,130.0,266.0,"-2444.0, 130.0, 266.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,19,-1547.0,130.0,-1080.0,"-1547.0, 130.0, -1080.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,20,-1.0,130.0,1632.0,"-1.0, 130.0, 1632.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,21,2266.0,130.0,-721.0,"2266.0, 130.0, -721.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,22,283.0,130.0,-159.0,"283.0, 130.0, -159.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,23,-2444.0,130.0,-37.0,"-2444.0, 130.0, -37.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,24,-1618.0,130.0,-1560.0,"-1618.0, 130.0, -1560.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Sunken Chest,25,-190.0,130.0,2450.0,"-190.0, 130.0, 2450.0",https://fischipedia.org/wiki/Sunken_Chest
All Other Locations,Treasure Hunting,1,-2825.0,215.0,1515.0,"-2825.0, 215.0, 1515.0",https://fischipedia.org/wiki/Treasure_Hunting
All Other Locations,AFK Rewards,1,232.0,139.0,38.0,"232.0, 139.0, 38.0",https://fischipedia.org/wiki/AFK_Rewards
